Question,Réponse
Qui finance la protection de l’environnement ?,"Selon le bilan environnemental de la France pour 2023, le financement de la protection de l’environnement repose principalement sur trois acteurs :
les administrations publiques à hauteur de 36%, soit 21,6 milliards d’euros (Md€) ;
les entreprises à hauteur de 34%, soit 20,3 Md€ ;
les ménages à hauteur de 29% soit 17,2 Md€.
L’Europe fournit le 1% restant. "
Quelle est la part des dépenses environnementales dans le PIB et dans quels domaines sont concentrées les dépenses ?,"La part des dépenses de protection de l’environnement dans le produit intérieur brut (PIB) progresse légèrement entre 2000 et 2020 (2,3% du PIB en 2020 contre 2,0% en 2000). Elle continue de progresser depuis 2020 mais à un rythme moins soutenu, de l’ordre de 1,6% du PIB. La France se classe au 12erang européen en matière de dépenses environnementales rapportées au PIB.
Les domaines de la gestion des déchets (19,6 Md€) et des eaux usées (14,1 Md€) concentrent à eux seuls 56% des financements. Les autres dépenses concernent :
les actions de protection de l’air extérieur (7,8 Md€) ;
les dépenses de recherche et développement pour l’environnement (4,2 Md€) ;
la protection de la biodiversité et des paysages (3,3 Md€) ;
la protection et dépollution des sols et des eaux (2,4 Md€) ;
la lutte contre le bruit (2,4 Md€) ;
la gestion des déchets radioactifs (0,7 Md€) ;
enfin 5,5 Md€ sont consacrés aux activités transversales de protection de l’environnement (frais de fonctionnement de l’administration publique et des opérateurs chargés des questions environnementales notamment)."
Qu'en est-il de la ressource en eau en France ?,"Les prélèvements d’eau douce diminuent depuis une vingtaine d’années, hormis ceux pour l’agriculture qui restent stables en moyenne. L’agriculture est la première activité consommatrice d’eau avec 58% du total, devant l’eau potable (26 %), le refroidissement des centrales électriques (12%), et les usages industriels (4%).
Contrastant avec l’année 2019, l’année 2020 se situe au 4e rang des années les mieux pourvues en eau sur la période 1990-2020, au même niveau que les années pluvieuses 2013 et 2014. Si des pénuries ponctuelles et géographiquement ciblées existent sur les périodes estivales, la France ne connaît pas actuellement de déficit chronique à l’échelle nationale.
Concernant la pollution des eaux, en 2022, 43,6% (contre 41,4% en 2010) des masses d’eau superficielle françaises affichaient un bon ou très bon état écologique. 67,9% des masses d’eau superficielle et souterraine présentaient un bon état chimique (contre respectivement 51,2% et 58,9% en 2010).
Les nitrates et les pesticides restent les produits les plus détectés dans les eaux souterraines. Entre 2000 et 2020, les teneurs en nitrates sont en légère augmentation (8%) dans les eaux de surface. De fortes disparités territoriales existent : la moitié nord (bassins Loire-Bretagne, Rhin-Meuse, Artois-Picardie et Seine-Normandie) de l’hexagone est plus exposée que la moitié sud.  
Qualité de l'eau potable : comment est-elle assurée ?
Parole d'expert
Par Julie Mendret et Thierry Pichard
5 février 2024"
Quelle est la qualité de l'air en France ?,"La qualité de l'air s'améliore sur le territoire. La qualité de l’air est suivie en différents points du territoire français, majoritairement dans les villes où s’observent les plus fortes concentrations de polluants. Elle s'améliore depuis quelques années. Les concentrations moyennes annuelles en dioxyde de soufre, dioxyde d’azote, PM10 et PM2,5 ont baissé. Seul l'ozone est en hausse.
L’exposition aux particules fines de diamètre inférieur ou égal à 2,5 µm (microgramme) (PM2,5) serait responsable de 7% de la mortalité totale de la population soit près de 40 000 décès par an. En 2021, les moyens financiers mobilisés pour la protection de la qualité de l’air extérieur sont évalués à 7,8 milliards d’euros. Les entreprises sont les premières contributrices. Elles prennent en charge 54% de la dépense globale, contre 26% pour l’Etat et 20% pour les ménages.
Restrictions de circulation : Marseille, Rouen et Strasbourg en territoires de vigilance sur la qualité de l'air en 2025
En bref
21 mars 2024"
Quel est l'état des sols ?,"En octobre 2023, 10 440 sites et sols pollués (ou potentiellement pollués) appelant une action des pouvoirs publics sont recensés en France. 
En France hexagonale, le sol des zones de culture ou d’élevage intensifs renferme des taux élevés de lindane (insecticide ou antiparasitaire), alors que cette substance est interdite depuis 1998. La pollution chronique du sol des bananeraies et la contamination des écosystèmes naturels par la chlordécone, insecticide interdit de vente depuis 1993 dans les Antilles françaises, affectent encore 25% de la surface agricole utilisée (SAU) en Guadeloupe et 40% en Martinique, en raison de sa persistance dans le sol, exposant la population par l’ingestion d’eau ou d’aliments contaminés.  
Les pesticides en huit questions
Questions-réponses
21 février 2024"
Qu'en est-il de l'érosion côtière ?,"Le littoral est exposé, à l’érosion côtière. Sur les 50 dernières années, environ 30 km² de terres ont été perdus. Les départements de Charente-Maritime, de la Gironde et des Bouches-du-Rhône (Camargue) représentent, à eux seuls, plus de la moitié des surfaces perdues.
En 2022, les 841 communes littorales (hors estuaire) regroupent près de 6,4 millions d’habitants et couvrent 4% du territoire métropolitain. Avec 281 habitants par km², la densité moyenne de la population y est 2,4 fois plus importante que la moyenne métropolitaine. Toutefois, le bilan fait état d’un report progressif de la population dans l’arrière-pays, du fait, entre autres, du coût élevé de l’immobilier en bord de mer. Les communes littorales disposent de plus de 8,4 millions de lits touristiques.
Littoraux : une adaptation nécessaire au changement climatique
Eclairage
8 avril 2024"
Comment la biodiversité a-t-elle évolué ?,"Globalement, en 2023, 16% des espèces évaluées dans la liste rouge nationale sont éteintes ou menacées. Le bilan attribue cette perte de biodiversité à la dégradation des milieux naturels. Par exemple, entre 1989 et 2021, les populations d’oiseaux communs spécialistes des milieux agricoles ont baissé de 36%, celles des milieux bâtis de 33% et des milieux forestiers de 2%. La population des chauves-souris les plus communes a diminué de 43% entre 2006 et 2021. 
L’acidification des océans produit des effets néfastes sur les coraux. les territoires des Antilles françaises (Guadeloupe, Martinique, Saint-Barthélemy, Saint-Martin) et de l’océan Indien (Mayotte, La Réunion), aux superficies plus réduites, abritaient des coraux considérés dans un état dégradé dans 62% des stations en 2020. Les récifs des territoires du Pacifique (Nouvelle-Calédonie, Wallis et Futuna, Polynésie française et Clipperton) et les îles Éparses sont dégradés à 30%.
En mars 2023, la France hexagonale compte 6 043 espaces protégés articulés autour de 17 outils de protections terrestres (tels que les parcs nationaux). En 2023, ces dispositifs couvrent 8 743 km².
COP15 biodiversité : l'accord de Montréal pour protéger 30% de la planète d'ici à 2030

En bref
20 décembre 2022"
La France est-elle particulièrement touchée par les catastrophes naturelles ?,"Entre 1982 et 2022, chaque année, près de 6 000 communes en moyenne font l’objet d’une reconnaissance d’état de catastrophe naturelle, pour un coût d'indemnisation global de près de 50 milliards d'euros sur la période. Les inondations (49%) et la sécheresse (42%) représentent 91% du nombre de ces catastrophes. 
Selon le bilan établit par le ministère, la France est le pays d'Europe qui a connu les plus de catastrophe naturelles depuis 1900, soit 188 catastrophes, contre 171 pour l'Italie, 109 pour l'Espagne et 106 pour l'Allemagne.
Le risque retrait-gonflement des argiles, concerne quant à lui un nombre important de communes et d'habitations individuelles, particulièrement touchées du fait de leurs fondations superficielles. Ce problème touche un peu plus de 9 700 communes (soit 27% des communes françaises). Les maisons individuelles y sont particulièrement vulnérables en raison de leurs fondations superficielles : 10,4 millions de maisons individuelles sont construites dans ces zones d’exposition forte ou moyenne (soit 54% de l’habitat individuel), dont 44% ont été bâties après 1976.
S'agissant des tsunamis, 9,5% de la population antillaise est exposée, soit 39 700 personnes vivant à moins de 500 mètres de la mer dans les secteurs les plus exposés en Guadeloupe et 36 600 en Martinique. 
Risques environnementaux : comment sont-ils perçus en France ?
En bref
11 janvier 2024"
Quelle est l'efficacité énergétique de la France ?,"L’intensité énergétique, qui mesure le rapport de la consommation énergétique finale au produit intérieur brut, diminue de manière quasiment continue depuis 20 ans, à un rythme annuel moyen de 1,6%. La France améliore donc globalement son efficacité énergétique. La consommation finale énergétique, diminue de 0,7% en 2022, après un rebond post-crise sanitaire (+4% en 2021), alors que l’activité poursuit sa croissance (+6,4% en 2021, +2,5% en 2022).
Bilan électrique 2023 : la France première exportatrice d'électricité en Europe
En bref
15 février 2024"
Où en est-on sur le développement des énergies renouvelables ?,"La part des énergies renouvelables dans la consommation finale d’électricité augmente depuis dix ans. En 2022, ces énergies représentent 20,7% de la consommation finale, soit 7% de plus qu’en 2011. Cela s’explique à la fois par les incitations publiques au développement mais aussi par la baisse de la consommation finale brute d’énergie. Globalement, 350 Térawatts/heure (TWh) d’énergies renouvelables ont été consommées (importations comprises) au total en France en 2022, soit 14% de la consommation primaire totale.
Les investissements en faveur des énergies renouvelables et de récupération ont enregistré une croissance en 2021, augmentant de 21% par rapport à 2020 pour atteindre un total de 14,4 milliards d’euros (Md€). 45% de ces investissements est concentré dans le secteur des pompes à chaleur.
L'éolien en France : des objectifs ambitieux mais non atteints
En bref
25 octobre 2023"
